2026-01-23 09:47:49.480 | INFO     | app.agent.base:run:140 - Executing step 1/12
2026-01-23 09:47:49.716 | ERROR    | app.llm:ask_tool:812 - OpenAI API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:49.716 | ERROR    | app.llm:ask_tool:818 - API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:50.792 | ERROR    | app.llm:ask_tool:812 - OpenAI API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:50.792 | ERROR    | app.llm:ask_tool:818 - API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:52.418 | ERROR    | app.llm:ask_tool:812 - OpenAI API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:52.419 | ERROR    | app.llm:ask_tool:818 - API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:54.902 | ERROR    | app.llm:ask_tool:812 - OpenAI API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:54.902 | ERROR    | app.llm:ask_tool:818 - API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:59.444 | ERROR    | app.llm:ask_tool:812 - OpenAI API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:47:59.445 | ERROR    | app.llm:ask_tool:818 - API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:48:03.702 | ERROR    | app.llm:ask_tool:812 - OpenAI API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:48:03.703 | ERROR    | app.llm:ask_tool:818 - API error: Error code: 400 - {'error': {'message': 'Invalid max_tokens value, the valid range of max_tokens is [1, 8192]', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
2026-01-23 09:48:03.704 | INFO     | app.tool.mcp:disconnect:194 - Disconnected from all MCP servers
